Stage,True positive,False negative,n,Standard,Buffered,Random,P
Piacenzian,6,7,13,46.15,84.62,3.38,< 0.001
Zanclean,16,11,27,59.26,70.37,4.56,< 0.001
Messinian,12,5,17,70.59,76.47,5.12,< 0.001
Tortonian,13,12,25,52,56,5.00,< 0.001
Serravallian,8,6,14,57.14,71.43,4.43,< 0.001
Langhian,2,3,5,40,40,4.40,< 0.001
Burdigalian,21,12,33,63.64,72.73,3.97,< 0.001
Aquitanian,2,3,5,40,80,4.60,< 0.001
Chattian,8,4,12,66.67,91.67,4.75,< 0.001
Rupelian,8,8,16,50,68.75,5.44,< 0.001
Priabonian,3,9,12,25,75,6.58,< 0.001
Bartonian,1,1,2,50,50,8.00,< 0.001
Lutetian,7,0,7,100,100,7.86,< 0.001
Ypresian,3,0,3,100,100,4.67,< 0.001
Thanetian,11,8,19,57.89,78.95,6.89,< 0.001
Selandian,1,0,1,100,100,9.00,< 0.001
Danian,4,2,6,66.67,83.33,6.00,< 0.001
Maastrichtian,4,2,6,66.67,83.33,7.50,< 0.001
Campanian,19,7,26,73.08,92.31,6.42,< 0.001
Santonian,5,0,5,100,100,4.80,< 0.001
Coniacian,3,0,3,100,100,7.67,< 0.001
Turonian,7,3,10,70,90,7.80,< 0.001
Cenomanian,9,1,10,90,100,7.50,< 0.001
Albian,11,1,12,91.67,100,4.92,< 0.001
Aptian,14,5,19,73.68,89.47,5.53,< 0.001
Barremian,8,6,14,57.14,92.86,6.14,< 0.001
Hauterivian,5,0,5,100,100,4.80,< 0.001
Valanginian,6,1,7,85.71,100,3.86,< 0.001
Berriasian,3,0,3,100,100,6.33,< 0.001
Tithonian,24,3,27,88.89,88.89,6.56,< 0.001
Kimmeridgian,28,4,32,87.5,100,6.69,< 0.001
Oxfordian,46,5,51,90.2,92.16,6.57,< 0.001
Callovian,3,0,3,100,100,5.00,< 0.001
Bathonian,4,0,4,100,100,8.25,< 0.001
Bajocian,19,0,19,100,100,5.84,< 0.001
Aalenian,6,0,6,100,100,5.83,< 0.001
Toarcian,1,0,1,100,100,8.00,< 0.001
Pliensbachian,4,1,5,80,80,5.20,< 0.001
Sinemurian,4,2,6,66.67,66.67,5.17,< 0.001
Hettangian,1,0,1,100,100,7.00,< 0.001
Rhaetian,8,8,16,50,62.5,4.94,< 0.001
Norian,37,10,47,78.72,78.72,4.55,< 0.001
Carnian,11,2,13,84.62,100,5.62,< 0.001
Ladinian,15,0,15,100,100,6.20,< 0.001
Anisian,9,0,9,100,100,4.78,< 0.001
