"stage","LPT_max","LPT_min","LPT_lower","LPT_upper","MaxSSS_max","MaxSSS_min","MaxSSS_lower","MaxSSS_upper"
"Aalenian",49.5,-40.5,-33.5,46.5,49.5,-36.5,-28.5,45.5
"Albian",45.5,-49.5,-40.5,39.5,44.5,-47.5,-38.5,39.5
"Anisian",46.5,-39.5,-31.5,39.5,46.5,-39.5,-30.5,37.5
"Aptian",44.5,-49.5,-41.5,37.5,42.5,-49.5,-40.5,37.5
"Aquitanian",39.5,-44.5,-40.5,34.5,37.5,-41.5,-37.5,33.5
"Bajocian",51.5,-39.5,-33.5,44.5,48.5,-39.5,-28.5,42.5
"Barremian",47.5,-46.5,-40.5,36.5,46.5,-42.5,-37.5,35.5
"Bartonian",49.5,-49.5,-42.5,42.5,47.5,-45.5,-39.5,40.5
"Bathonian",47.5,-43.5,-32.5,43.5,47.5,-34.5,-28.95,42.5
"Berriasian",49.5,-44.5,-38.5,39.5,46.5,-41.5,-34.5,37.5
"Burdigalian",37.5,-43.5,-41.5,33.5,36.5,-41.5,-38.225,32.5
"Callovian",49.5,-43.5,-34.5,44.5,47.5,-37.5,-32.5,43.5
"Campanian",44.5,-44.5,-37.5,40.5,43.5,-42.5,-35.5,39.5
"Carnian",54.5,-41.5,-26.5,43.5,49.5,-40.5,-25.5,41.5
"Cenomanian",47.5,-45.5,-37.5,42.5,46.5,-41.5,-35.5,41.5
"Chattian",42.5,-46.5,-41.5,37.5,39.5,-42.5,-37.5,36.5
"Coniacian",45.5,-44.5,-39.5,41.5,44.5,-42.5,-38.5,39.5
"Danian",44.5,-45.5,-39.5,40.5,44.5,-45.5,-38.5,38.5
"Hauterivian",47.5,-45.5,-41.5,37.5,47.5,-44.5,-39.5,34.5
"Hettangian",47.5,-36.5,-27.5,43.5,45.5,-36.5,-25.5,43.5
"Kimmeridgian",51.5,-42.5,-35.5,43.5,49.5,-40.5,-33.825,41.5
"Ladinian",49.5,-44.5,-29.5,41.5,48.5,-42.5,-27.5,40.5
"Langhian",39.5,-44.5,-41.5,34.5,37.5,-42.5,-39.5,31.5
"Lutetian",46.5,-50.5,-43.45,39.5,46.5,-44.5,-40.5,39.5
"Maastrichtian",44.5,-47.5,-40.5,40.5,44.5,-43.5,-38.5,39.5
"Messinian",38.5,-45.5,-38.5,34.5,35.5,-41.5,-35.5,31.5
"Norian",58.5,-41.5,-26.6,44.5,55.5,-39.5,-26.5,42.5
"Oxfordian",49.5,-42.5,-35.5,44.5,49.5,-40.5,-32.5,41.5
"Piacenzian",36.5,-42.5,-37.5,32.5,34.5,-40.5,-35.5,29.5
"Pliensbachian",52.5,-37.5,-30.5,45.5,46.5,-34.5,-29.5,43.5
"Priabonian",53.5,-46.5,-39.5,42.5,48.5,-43.5,-38.25,40.5
"Rhaetian",57.5,-38.5,-27.425,46.5,56.5,-37.5,-24.5,45.5
"Rupelian",39.5,-43.5,-37.5,36.5,39.5,-41.5,-36.5,35.5
"Santonian",44.5,-44.5,-38.5,41.5,44.5,-42.5,-37.5,40.5
"Selandian",44.5,-47.5,-41.5,39.5,44.5,-45.5,-37.5,37.5
"Serravallian",39.5,-39.5,-35.5,35.5,37.5,-36.5,-33.5,34.5
"Sinemurian",58.5,-36.5,-28.5,52.5,57.5,-36.5,-26.5,49.5
"Thanetian",47.5,-44.5,-39.5,38.5,44.5,-42.5,-36.9,37.5
"Tithonian",51.5,-41.5,-36.5,42.5,47.5,-38.5,-33.5,40.5
"Toarcian",49.5,-37.5,-32.5,43.5,48.5,-34.5,-29.5,42.5
"Tortonian",38.5,-43.5,-40.5,33.5,35.5,-42.5,-37.2,30.2
"Turonian",47.5,-44.5,-39.5,41.5,44.5,-42.5,-36.5,40.5
"Valanginian",49.5,-44.5,-41.5,36.5,49.5,-42.5,-39.5,33.5
"Ypresian",46.5,-44.5,-40.5,39.5,44.5,-42.5,-38.5,38.5
"Zanclean",38.5,-44.5,-38.5,33.5,36.5,-42.5,-36.5,32.5
